0,1084
0,1272
0,1339
0,1387
0,1493
1,265
1,287
1,1461
1,1491
1,1840
2,3
2,581
2,718
2,1456
3,258
3,295
3,323
3,581
3,1129
3,1456
3,1636
4,357
4,1086
4,1411
4,1487
4,1746
4,1903
5,48
5,260
5,451
5,592
5,1382
6,143
6,151
6,424
6,788
6,978
6,1119
6,1351
6,1743
6,1894
7,164
7,511
7,553
7,1029
7,1964
8,88
8,251
8,281
8,307
8,352
8,384
8,507
8,513
8,558
8,574
8,610
8,722
8,725
8,836
8,916
8,1001
8,1005
8,1126
8,1399
8,1409
8,1620
8,1650
8,1804
8,1829
8,1878
8,1999
9,72
9,518
9,555
9,1203
9,1887
10,903
10,1651
10,1704
10,1711
11,1693
12,167
12,193
12,407
12,500
12,539
12,709
12,796
12,971
12,1111
12,1570
12,1574
12,1850
12,1935
13,94
13,228
13,366
13,616
13,655
13,753
13,1263
13,1431
13,1497
13,1720
13,1728
14,19
14,153
14,166
14,791
14,1267
14,1955
14,1974
15,185
15,250
15,392
15,636
15,818
15,822
15,1088
15,1165
15,1349
16,530
16,906
16,1105
16,1131
16,1381
16,1598
16,1858
16,1871
17,550
17,578
17,814
17,1060
17,1095
17,1175
17,1403
17,1449
17,1573
17,1797
17,1904
17,1916
18,270
18,866
18,1447
18,1506
18,1762
19,791
19,1267
19,1522
19,1719
19,1974
20,207
20,614
20,652
20,668
20,779
20,801
20,851
20,990
20,994
20,1018
20,1424
20,1579
20,1759
20,1822
21,242
21,492
21,495
21,561
21,649
21,901
22,487
22,506
22,619
22,1070
22,1928
23,717
23,969
23,1110
23,1188
23,1689
23,1795
24,53
24,400
24,483
24,940
24,1367
25,76
25,436
25,640
25,899
25,1350
25,1580
26,356
26,375
26,807
26,940
26,964
26,1130
26,1541
27,75
27,79
27,98
27,755
27,847
27,898
27,1267
27,1522
27,1719
27,1974
28,152
28,223
28,1065
28,1157
28,1802
28,1813
28,1977
29,153
29,173
29,435
29,755
29,1032
29,1726
29,1926
29,1974
30,347
30,378
30,707
30,896
30,1134
30,1216
30,1319
30,1410
30,1462
30,1608
30,1707
30,1801
30,1803
30,1831
31,348
31,468
31,798
31,873
31,1190
31,1557
32,77
32,346
32,742
32,1193
32,1371
32,1416
32,1420
33,803
33,820
33,847
33,957
33,1430
33,1522
33,1687
34,189
34,395
34,1224
34,1441
35,336
35,510
35,532
35,607
35,685
35,745
35,815
35,838
35,1099
35,1174
35,1273
35,1450
35,1550
35,1624
36,387
36,889
36,1711
37,230
37,648
37,743
37,766
37,808
37,1050
37,1413
37,1789
38,366
38,603
38,616
38,894
38,924
38,993
38,1022
38,1288
38,1378
38,1728
39,1078
39,1286
39,1376
39,1680
40,252
40,256
40,385
40,451
40,592
40,869
40,961
40,980
40,1095
40,1356
40,1403
40,1674
40,1797
40,1810
40,1855
40,1858
40,1920
41,299
41,491
41,570
41,1313
41,1442
41,1657
41,1785
42,155
42,248
42,435
42,1521
42,1611
42,1726
42,1942
43,693
43,736
43,949
43,1197
43,1301
43,1631
43,1751
44,169
44,490
44,1341
44,1379
44,1644
44,1844
44,1946
45,576
45,663
45,752
45,797
46,876
46,974
46,1007
46,1053
46,1485
47,650
47,1123
47,1636
48,459
48,592
48,814
48,844
48,1095
48,1573
49,448
49,489
49,865
49,1233
49,1407
49,1564
49,1605
49,1633
49,1832
50,132
50,135
50,186
50,259
50,689
50,754
50,793
50,849
50,939
50,1107
50,1247
50,1569
51,423
51,439
51,617
51,701
51,1051
51,1133
51,1219
51,1637
51,1643
51,1715
51,1729
52,177
52,697
52,1169
52,1326
52,1411
53,356
53,375
53,483
53,692
53,807
53,940
53,1248
54,131
54,174
54,255
54,269
54,333
54,355
54,625
54,643
54,792
54,833
54,963
54,965
54,999
54,1013
54,1132
54,1162
54,1327
54,1474
54,1767
54,1838
54,1949
55,849
55,941
55,1717
55,1731
56,289
56,975
56,1423
56,1438
56,1658
56,1691
57,862
57,956
57,1038
57,1239
57,1465
57,1710
57,1724
57,1752
57,1952
57,1953
58,64
58,613
59,62
59,92
59,132
59,139
59,166
59,354
59,631
59,657
59,754
59,764
59,801
59,810
59,871
59,939
59,977
59,1019
59,1155
59,1281
59,1372
59,1528
59,1718
59,1955
60,65
60,138
60,168
60,541
60,1022
60,1041
60,1242
60,1244
60,1324
60,1873
61,246
61,637
61,704
61,715
